key_resp.keys,key_resp.corr,tilt,hit,miss,false alarm,correct rejection
up,1,0,1,,,
down,1,4,,,,1
up,1,0,1,,,
up,1,0,1,,,
down,1,-3,,,,1
up,1,0,1,,,
down,1,4,,,,1
up,0,3,,,1,
down,1,-2,,,,1
down,1,-2,,,,1
up,0,4,,,1,
up,1,0,1,,,
up,1,0,1,,,
up,0,2,,,1,
up,1,0,1,,,
up,0,1,,,1,
down,1,3,,,,1
up,1,0,1,,,
down,0,0,,1,,
up,0,-4,,,1,
down,1,-3,,,,1
down,0,0,,1,,
up,0,1,,,1,
down,0,0,,1,,
up,1,0,1,,,
down,1,1,,,,1
up,0,-5,,,1,
down,1,-5,,,,1
up,0,-2,,,1,
down,0,0,,1,,
up,0,-5,,,1,
down,1,3,,,,1
up,1,0,1,,,
down,1,1,,,,1
down,1,1,,,,1
down,1,2,,,,1
down,1,-4,,,,1
up,1,0,1,,,
down,1,-5,,,,1
up,0,2,,,1,
up,1,0,1,,,
up,0,1,,,1,
down,1,-5,,,,1
up,0,-2,,,1,
down,0,0,,1,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,0,2,,,1,
down,1,2,,,,1
up,1,0,1,,,
down,1,-2,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,0,3,,,1,
up,1,0,1,,,
down,0,0,,1,,
down,0,0,,1,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
up,0,-4,,,1,
down,1,-5,,,,1
down,1,2,,,,1
up,1,0,1,,,
up,1,0,1,,,
up,1,0,1,,,
down,1,4,,,,1
up,0,-4,,,,1
down,0,0,,1,,
up,0,3,,,1,
down,1,-2,,,,1
down,1,3,,,,1
up,0,2,,,1,
down,1,2,,,,1
up,1,0,1,,,
down,0,0,,1,,
up,1,0,1,,,
up,1,0,1,,,
up,0,4,,,1,
up,0,1,,,1,
up,0,2,,,1,
down,1,2,,,,1
up,1,0,1,,,
up,1,0,1,,,
down,1,-4,,,,1
up,0,1,,,1,
down,1,4,,,,1
down,0,0,,1,,
down,0,0,,1,,
down,0,0,,1,,
down,0,0,,1,,
down,0,0,,1,,
down,0,0,,1,,
down,0,0,,1,,
,,,35,16,21,28
,,,proportion hit,,proportion false alarm,
,,,0.68627451,,0.428571429,
,,,,,,
,,d prime + z(prop hit) - z(prop fa),0.6653301,,,
,,c = z(prop hit) + z(prop fa)/2,-0.395311545,,,
